User ID,Enrollment Date,Subscription Plan,Course Completion Rate,Courses Enrolled,Login Frequency (per month),Time Spent per Session (mins),Last Active Date,Forum Participation,Quiz Participation Rate,Assignment Submission Rate,Video Watch Completion Rate,Survey Response (1-5),Feedback Sentiment,Support Ticket Sentiment,Incomplete Courses Count,Engagement_inper,churn,Course Reminder Response,Gamified Progress Engagement,AI Recommendation Click Rate
U0001,13-04-2022,Basic,49.18,9,9,119.5,04-04-2023,14,91.51,32.69,59.62,2,Positive,N/A,2,22.3,1,Not Clicked,Active,74.6
U0002,12-03-2023,Basic,50.92,1,21,72,22-11-2023,12,85.45,60.67,91.59,1,Positive,Negative,3,52.56,0,Not Clicked,Active,63.07
U0003,28-09-2022,Standard,65.16,7,26,98.4,15-09-2023,27,68.32,93.04,28.79,3,Neutral,Positive,1,9.13,0,Not Clicked,Active,42.7
U0004,17-04-2022,Standard,35.34,7,20,42.6,22-11-2022,32,5.23,83.69,18.55,5,Positive,Positive,2,43.64,0,Clicked,Inactive,90.21
U0005,13-03-2022,Standard,36.94,4,7,40.2,21-03-2022,42,78.28,99.55,65.17,4,Positive,N/A,3,58.18,0,Clicked,Inactive,65.1
U0006,02-12-2023,Basic,58.77,9,22,51.3,13-12-2023,22,84.55,2.26,71.26,3,Positive,N/A,0,52.21,0,Not Clicked,Inactive,39.84
U0007,21-01-2022,Premium,80.34,5,4,82.3,11-12-2022,32,79.91,11.29,68.8,5,Neutral,Neutral,3,33.09,0,Not Clicked,Inactive,8.35
U0008,07-09-2023,Standard,69.56,4,13,83.5,07-05-2024,42,50.85,60.95,31.93,2,Positive,N/A,4,54.24,0,Not Clicked,Active,29.07
U0009,02-05-2022,Standard,43.79,7,13,41.3,30-10-2022,17,23.29,82.06,25.22,1,Positive,N/A,4,95.88,1,Clicked,Active,54.37
U0010,12-04-2023,Premium,54.43,4,10,20.3,20-01-2024,49,84.53,28.52,95.59,1,Negative,Positive,1,20.6,0,Not Clicked,Active,27.56
U0011,03-08-2022,Premium,33.65,3,18,77.7,10-06-2023,29,72.72,23.92,92.33,5,Positive,Positive,1,65.48,0,Not Clicked,Inactive,22.12
U0012,27-11-2022,Basic,25.97,9,17,19.8,05-03-2023,25,98.08,78.7,45.73,3,Positive,Positive,4,4.34,0,Clicked,Inactive,52.74
U0013,04-04-2023,Basic,82.62,8,20,71.5,17-10-2023,15,15.57,5.64,84.62,4,Negative,N/A,4,6.64,0,Not Clicked,Active,16.98
U0014,29-03-2022,Premium,41.23,1,20,84.7,09-11-2022,12,22.57,36.94,45.23,2,Positive,N/A,2,55.18,0,Not Clicked,Active,80.04
U0015,08-01-2023,Standard,34.22,7,13,85.6,06-12-2023,38,21.18,50.58,42.44,5,Positive,Negative,4,10.49,0,Clicked,Active,48.44
U0016,10-04-2022,Basic,75.33,9,17,91.6,21-07-2022,32,79.25,56.03,15.68,2,Positive,Positive,1,2.23,1,Clicked,Active,57.39
U0017,26-10-2023,Standard,69.44,8,22,105.4,08-02-2024,25,18.69,72.86,42.64,1,Neutral,Negative,4,17.15,0,Not Clicked,Inactive,14.74
U0018,11-05-2022,Premium,70.66,8,4,62.5,10-05-2023,47,6.67,35.48,53.74,4,Positive,N/A,1,56.48,0,Clicked,Active,32.46
U0019,24-10-2023,Standard,38.31,6,1,89,20-12-2023,0,99.86,61.27,2.25,2,Neutral,N/A,0,70.33,0,Not Clicked,Inactive,41.01
U0020,05-11-2022,Standard,38.61,4,1,76.2,21-01-2023,48,2.48,58.54,44.41,5,Positive,Positive,4,20.25,0,Clicked,Active,80.82
U0021,10-12-2022,Premium,37.66,8,15,26.5,22-02-2023,37,83.52,54.76,78.14,4,Positive,Negative,1,66.83,0,Clicked,Inactive,77.02
U0022,07-05-2023,Basic,33.9,3,13,8,17-06-2023,1,36.54,64.05,68,3,Neutral,Positive,3,18.25,0,Not Clicked,Inactive,22.3
U0023,18-02-2023,Basic,72.46,9,17,37.7,07-01-2024,48,84.16,25.94,63.52,5,Negative,N/A,2,61.35,0,Not Clicked,Inactive,61.62
U0024,21-01-2023,Standard,87.84,2,24,55.9,20-07-2023,5,55.46,8.46,90.96,2,Positive,Negative,1,41.2,0,Clicked,Active,24.35
U0025,11-07-2022,Premium,77.95,2,26,76,12-08-2022,45,90.16,11.93,1.8,4,Neutral,Positive,4,65.38,1,Not Clicked,Active,98.82
U0026,04-10-2022,Basic,83.37,7,8,102.7,13-12-2022,49,92.62,22.46,55.7,5,Positive,N/A,4,99.51,0,Clicked,Active,95.21
U0027,10-06-2022,Standard,52.38,4,18,27.6,04-08-2022,37,0.91,50.02,78.73,4,Positive,Positive,0,93.78,0,Clicked,Active,56.33
